Display name,Type,Field ID,Date modified,Tags
Approval status,Drop-down,28128247855762,2025-07-16,Custom field
Assignee,Drop-down,27383901345298,2025-06-13,Standard field
Bonus name/type,Drop-down,30077296748690,2025-10-08,Custom field
Channel group,Drop-down,35561997731474,2026-05-13,Custom field
Client name,Text,27945534052882,2025-09-13,Custom field
Comments,Text,29328398594194,2025-09-11,Custom field
Deposit Amount,Numeric,31755438658322,2025-12-10,Custom field
Description,Multi-line,27383901340946,2025-06-13,Standard field
External ID (PSP ID),Text,31755408615186,2025-12-10,Custom field
Form L1 - Account,Drop-down,29326311046674,2025-11-11,Custom field
Form L1 - Deposits,Drop-down,29343098504722,2026-05-25,Custom field
" Form L1 - General",Drop-down,29325850558226,2025-09-13,Custom field
Form L1 - Issues,Drop-down,29328446391826,2026-03-30,Custom field
Form L1 - Product,Drop-down,29328730258578,2026-03-30,Custom field
Form L1 - Promotions and bonus,Drop-down,29328737528210,2025-10-21,Custom field
Form L1 - Verification,Drop-down,29328650807698,2026-03-05,Custom field
Form L1 - VIP Topics,Drop-down,29355517674514,2025-09-13,Custom field
Form L1 - Withdrawal,Drop-down,29342186376978,2026-04-25,Custom field
Form L2,Drop-down,29328460161170,2025-10-06,Custom field
Form L2 - Account restrictions,Drop-down,35114611933586,2026-04-26,Custom field
Form L2 - Cashback Bonus,Drop-down,29971542256402,2025-10-04,Custom field
Form L2 - Deposit Bonus %,Drop-down,29409637061394,2025-10-04,Custom field
Form L2 - Deposit status,Drop-down,29409941644946,2025-09-13,Custom field
Form L2 - Free bet Bonus,Drop-down,29971498605842,2025-10-04,Custom field
Form L2 - Free Spins Bonus,Drop-down,29409636563090,2025-10-04,Custom field
Form L2 - General info,Drop-down,30077324458770,2025-10-08,Custom field
Form L2 - Password Reset,Drop-down,37009396947090,2026-07-06,Custom field
"Form L2 - Request to close account ",Drop-down,29409342498962,2026-03-06,Custom field
Form L2 - Retracted Bonus,Drop-down,29409706402578,2025-11-07,Custom field
"Form L2 - VIP Follow Up ",Drop-down,29409918499986,2026-04-24,Custom field
Form L2 - VIP Perks,Drop-down,29409981824146,2025-09-13,Custom field
Form L2 - Withdrawal Status,Drop-down,29409875818514,2025-09-13,Custom field
Form L3,Drop-down,29343027897362,2025-10-06,Custom field
Form L3 - WS Declined,Drop-down,29409820641682,2025-10-08,Custom field
Form L3 - WS Pending,Drop-down,29409846114066,2025-09-13,Custom field
Group,Drop-down,27383923233682,2025-06-13,Standard field
Issues L2 - Account,Drop-down,34430512422162,2026-03-30,Custom field
Issues L2 - Deposits,Drop-down,34430505470866,2026-03-30,Custom field
Issues L2 - Promotions,Drop-down,29971583191058,2026-03-30,Custom field
Issues L2 - Sportbooks,Drop-down,34430541862674,2026-03-30,Custom field
Issues L2 - Website,Drop-down,29409525919122,2026-03-30,Custom field
Issues L2 - Withdrawal,Drop-down,34430513871634,2026-03-30,Custom field
L2 - Deposits Delay,Drop-down,34429540556434,2026-05-25,Custom field
Level 2 -  Verification Status,Drop-down,29409640707474,2026-04-16,Custom field
"Level 2 - Sport Bonus ",Drop-down,30415840160402,2025-10-21,Custom field
Level 2 - Sportsbooks,Drop-down,34429052145554,2026-03-30,Custom field
Level 2 - Unable to Withdraw,Drop-down,30507848552978,2026-04-17,Custom field
Level 3 - Deposit/Declined,Drop-down,30079878798994,2026-06-03,Custom field
Multi-recipient email ID,Text,36282563460882,2026-06-09,Custom field
Payment Date,Text,31755436029458,2025-12-10,Custom field
Payment Gateway,Drop-down,31755372856978,2025-12-10,Custom field
Player ID,Numeric,27626338300690,2026-02-12,Custom field
Player ID,Text,31755319126162,2025-12-10,Custom field
Priority,Drop-down,27383901344146,2025-06-13,Standard field
PSP,Drop-down,34431495503506,2026-05-18,Custom field
Required tasks,Drop-down,35018416058130,2026-04-22,Custom field
Resolution tier,Drop-down,35562014695826,2026-05-13,Custom field
Resolution type,Drop-down,30826113511058,2026-05-13,Custom field
Subject,Text,27383901339538,2025-06-13,Standard field
Ticket status,Drop-down,27383901342610,2025-06-13,Standard field
Topic,Drop-down,27822230404498,2025-07-03,Custom field
Transaction ID,Text,31755358365074,2025-12-10,Custom field
Type,Drop-down,27383901343122,2025-06-13,Standard field
Type of contact,Drop-down,29374195005842,2026-06-17,Custom field
Type of Issue,Drop-down,34430620988434,2026-03-30,Custom field
User Description,Multi-line,31755504800274,2025-12-10,Custom field
User Level,Drop-down,29328409050002,2025-10-15,Custom field
¿En qué podemos ayudarte hoy?,Drop-down,34433647687314,2026-03-30,Custom field
¿En qué podemos ayudarte?,Text,32175088873362,2025-12-29,Custom field
